Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
alam-alikaa-riq-black-gold-marbled,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-34-02.jpg,2,Alam Alikaa Frame Drum (Riq) - Black & Gold Marbled Finish — view 2,,,,,
antique-hammered-metal-darbuka-charcoal-olive-speckle,Antique Hammered-Metal Darbuka - Charcoal & Olive Speckle,"<p>The darkest and greyest of the three antique hammered-metal drums in this batch, this one lands in a charcoal-grey and olive speckle finish. Like its bronze and pewter siblings, there's no mosaic here, just the aged, hand-hammered surface texture.</p><ul>
<li>Antique-style hammered-metal finish with fine speckle texture</li>
<li>Charcoal-grey and olive tone, the darkest of the three</li>
<li>No mosaic or inlay</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, antique finish, charcoal, doumbek, grey, hammered metal, middle eastern, no mosaic, olive",true,Title,Default Title,,,,,DRM-33,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-33-01.jpg,1,Antique Hammered-Metal Darbuka - Charcoal & Olive Speckle — Bob Music Store,false,Antique Hammered-Metal Darbuka - Charcoal & Olive Speckle,"The darkest and greyest of the three antique hammered-metal drums in this batch, this one lands in a charcoal-grey and olive — Bob Music Store, Beirut.",g,active
mosaic-darbuka-maroon-yellow-blue-diamond-medallion-sealed,"Mosaic Darbuka - Maroon, Yellow & Blue Diamond Medallion","<p>A large diamond medallion with a red hexagon-star center anchors this cream-and-beige darbuka, surrounded by a colorful maroon, yellow, blue, and grey mosaic pattern. It's still wrapped in its original factory plastic film.</p><ul>
<li>Large diamond medallion with a red hexagon-star center</li>
<li>Maroon, yellow, blue, and grey mosaic colorway</li>
<li>Cream and beige ground</li>
<li>Brand new, still factory-sealed</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, blue, cream, doumbek, factory sealed, grey, maroon, middle eastern, mosaic, new, yellow",true,Title,Default Title,,,,,DRM-32,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-32-01.jpg,1,"Mosaic Darbuka - Maroon, Yellow & Blue Diamond Medallion — Bob Music Store",false,"Mosaic Darbuka - Maroon, Yellow & Blue Diamond Medallion","A large diamond medallion with a red hexagon-star center anchors this cream-and-beige darbuka, surrounded by a colorful maroon — Bob Music Store, Beirut.",g,active
two-tone-darbuka-maroon-pale-blue-white-rim,"Two-Tone Darbuka - Maroon Body, Pale Blue-White Rim Cap","<p>A solid glossy maroon-burgundy body meets a contrasting pale blue-white rim cap on this darbuka, a clean two-tone color-block look with no mosaic anywhere. It's the only maroon/burgundy solid-color drum in the batch.</p><ul>
<li>Solid glossy maroon-burgundy body</li>
<li>Contrasting pale blue-white rim cap</li>
<li>Two-tone color-block design with no mosaic</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, burgundy, color block, doumbek, maroon, middle eastern, no mosaic, solid lacquer, two tone",true,Title,Default Title,,,,,DRM-31,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-31-01.jpg,1,"Two-Tone Darbuka - Maroon Body, Pale Blue-White Rim Cap — Bob Music Store",false,"Two-Tone Darbuka - Maroon Body, Pale Blue-White Rim Cap","A solid glossy maroon-burgundy body meets a contrasting pale blue-white rim cap on this darbuka, a clean two-tone color-block — Bob Music Store, Beirut.",g,active
antique-hammered-metal-darbuka-pewter-grey-brown-speckle,Antique Hammered-Metal Darbuka - Pewter & Grey-Brown Speckle,"<p>This darbuka takes the same antique hammered-metal approach as its bronze sibling but shifts the palette cooler, into a pewter and grey-brown speckle. There's no mosaic or inlay anywhere on the body - the finish does all the work.</p><ul>
<li>Antique-style hammered-metal finish with fine speckle texture</li>
<li>Cooler pewter/grey-brown tone</li>
<li>No mosaic or inlay</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, antique finish, brown, doumbek, grey, hammered metal, middle eastern, no mosaic, pewter",true,Title,Default Title,,,,,DRM-30,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-30-01.jpg,1,Antique Hammered-Metal Darbuka - Pewter & Grey-Brown Speckle — Bob Music Store,false,Antique Hammered-Metal Darbuka - Pewter & Grey-Brown Speckle,"This darbuka takes the same antique hammered-metal approach as its bronze sibling but shifts the palette cooler, into a pewter — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-black-cream-pointed-arch-lattice,Gawharet El Fan Darbuka - Black & Cream Pointed-Arch Lattice,"<p>A black-and-cream star-medallion pattern interlocks with a pointed-arch geometric lattice on this Gawharet El Fan darbuka. The maker's brass medallion badge is visible along the lower frame of the piece, confirming its origin.</p><ul>
<li>Gawharet El Fan badge visible, brass medallion at the lower frame</li>
<li>Black and cream star-medallion motif</li>
<li>Pointed-arch geometric lattice pattern</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, branded, cream, doumbek, gawharet el fan, middle eastern, mosaic, pointed arch, star medallion",true,Title,Default Title,,,,,DRM-29,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-29-01.jpg,1,Gawharet El Fan Darbuka - Black & Cream Pointed-Arch Lattice — Bob Music Store,false,Gawharet El Fan Darbuka - Black & Cream Pointed-Arch Lattice,"A black-and-cream star-medallion pattern interlocks with a pointed-arch geometric lattice on this Gawharet El Fan darbuka — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-12-point-sunburst-rosette,Gawharet El Fan Darbuka - 12-Point Sunburst Rosette,"<p>The centerpiece of this Gawharet El Fan darbuka is a large 12-point star sunburst rosette, set into a crushed mother-of-pearl body and flanked by brown leaf- and eye-shaped inlay panels. It's the most elaborate single motif of any branded piece in this collection, and it carries the maker's brass medallion badge to confirm it.</p><ul>
<li>Genuine Gawharet El Fan badge, brass medallion</li>
<li>Large 12-point star sunburst rosette as the central motif</li>
<li>Crushed mother-of-pearl body texture</li>
<li>Brown leaf/eye-shaped inlay panels</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, branded, cream, crushed pearl, doumbek, gawharet el fan, middle eastern, rosette, sunburst",true,Title,Default Title,,,,,DRM-28,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-28-01.jpg,1,Gawharet El Fan Darbuka - 12-Point Sunburst Rosette — Bob Music Store,false,Gawharet El Fan Darbuka - 12-Point Sunburst Rosette,"The centerpiece of this Gawharet El Fan darbuka is a large 12-point star sunburst rosette, set into a crushed mother-of-pearl — Bob Music Store, Beirut.",g,active
mosaic-darbuka-cobalt-blue-purple-circle-medallion-column,Mosaic Darbuka - Cobalt Blue with Purple Circle Medallion Column,"<p>A cobalt-blue ground carries purple, black, and cream diamond-and-circle medallions on this darbuka, with a vertical column of small purple-ringed circle medallions running down one side - a layout not repeated on any other blue drum in the batch.</p><ul>
<li>Cobalt/bright blue ground</li>
<li>Purple, black, and cream diamond and circle medallion mosaic</li>
<li>Vertical column of small purple-ringed circle medallions</li>
<li>New, unplayed condition</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, blue, circle medallion, cobalt, cream, doumbek, middle eastern, mosaic, purple",true,Title,Default Title,,,,,DRM-27,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-27-01.jpg,1,Mosaic Darbuka - Cobalt Blue with Purple Circle Medallion Column — Bob Music Store,false,Mosaic Darbuka - Cobalt Blue with Purple Circle Medallion…,"A cobalt-blue ground carries purple, black, and cream diamond-and-circle medallions on this darbuka, with a vertical column — Bob Music Store, Beirut.",g,active
antique-hammered-metal-darbuka-bronze-copper-speckle,Antique Hammered-Metal Darbuka - Bronze & Copper Speckle,"<p>Finished to look hand-hammered and aged, this darbuka wears a warm bronze-and-copper speckled texture across its entire body with no mosaic work at all. The uniform fine speckle reads as an antique metal finish rather than a decorative overlay.</p><ul>
<li>Antique-style hammered-metal finish with fine speckle texture</li>
<li>Warm bronze-copper tone</li>
<li>No mosaic or inlay</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, antique finish, bronze, copper, doumbek, hammered metal, middle eastern, no mosaic",true,Title,Default Title,,,,,DRM-26,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-26-01.jpg,1,Antique Hammered-Metal Darbuka - Bronze & Copper Speckle — Bob Music Store,false,Antique Hammered-Metal Darbuka - Bronze & Copper Speckle,"Finished to look hand-hammered and aged, this darbuka wears a warm bronze-and-copper speckled texture across its entire body — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-star-diamond-geometric,Gawharet El Fan Darbuka - Star-and-Diamond Geometric Mosaic,"<p>Cream, white, and black combine in a star-and-diamond geometric mosaic on this Gawharet El Fan darbuka, with a dark reddish-brown accent panel wrapping the collar for contrast. The brand's brass medallion badge confirms it as a genuine professional-tier piece.</p><ul>
<li>Genuine Gawharet El Fan badge, brass medallion</li>
<li>Star-and-diamond geometric mosaic pattern</li>
<li>Cream, white, and black colorway</li>
<li>Dark reddish-brown accent panel at the collar</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, branded, cream, diamond, doumbek, gawharet el fan, middle eastern, mosaic, star",true,Title,Default Title,,,,,DRM-25,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-25-01.jpg,1,Gawharet El Fan Darbuka - Star-and-Diamond Geometric Mosaic — Bob Music Store,false,Gawharet El Fan Darbuka - Star-and-Diamond Geometric Mosaic,"Cream, white, and black combine in a star-and-diamond geometric mosaic on this Gawharet El Fan darbuka, with a dark — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-3d-cube-illusion-maroon-panel,Gawharet El Fan Darbuka - 3D Cube Illusion Band with Maroon Panel,"<p>This Gawharet El Fan darbuka layers a black-and-white band with a 3D cube-illusion effect over a crushed mother-of-pearl body, then breaks it up with a tall maroon diamond-shaped inlay panel. It's one of the more visually complex pieces in the branded lineup, confirmed by the maker's brass medallion badge.</p><ul>
<li>Genuine Gawharet El Fan badge, brass medallion</li>
<li>Black/white 3D-cube-illusion mosaic band</li>
<li>Crushed mother-of-pearl body texture</li>
<li>Tall maroon diamond-shaped inlay panel</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, branded, cream, crushed pearl, doumbek, gawharet el fan, geometric, maroon, middle eastern, mother of pearl",true,Title,Default Title,,,,,DRM-24,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-24-01.jpg,1,Gawharet El Fan Darbuka - 3D Cube Illusion Band with Maroon Panel — Bob Music Store,false,Gawharet El Fan Darbuka - 3D Cube Illusion Band with Maro…,"This Gawharet El Fan darbuka layers a black-and-white band with a 3D cube-illusion effect over a crushed mother-of-pearl body — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-crushed-pearl-vesica-lattice,Gawharet El Fan Darbuka - Crushed Pearl Vesica Lattice,"<p>A dark brown interlocking oval lattice, a repeating vesica pattern, runs across a cream-and-white body finished with a crushed mother-of-pearl sparkle background. This is a genuine Gawharet El Fan piece, identifiable by its brass medallion badge, and the crushed-pearl technique gives it a texture the stamped-mosaic pieces in this batch don't have.</p><ul>
<li>Genuine Gawharet El Fan badge, brass medallion</li>
<li>Dark brown interlocking oval vesica lattice pattern</li>
<li>Crushed mother-of-pearl sparkle background</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, branded, cream, crushed pearl, doumbek, gawharet el fan, lattice, middle eastern, mother of pearl, vesica",true,Title,Default Title,,,,,DRM-23,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-23-01.jpg,1,Gawharet El Fan Darbuka - Crushed Pearl Vesica Lattice — Bob Music Store,false,Gawharet El Fan Darbuka - Crushed Pearl Vesica Lattice,"A dark brown interlocking oval lattice, a repeating vesica pattern, runs across a cream-and-white body finished with a crushed — Bob Music Store, Beirut.",g,active
gawharet-el-fan-darbuka-cream-brown-shell-fan-border,Gawharet El Fan Darbuka - Cream & Brown Shell-Fan Border with Star Medallions,"<p>Carrying the brass medallion badge of Gawharet El Fan - Egypt's respected, professional-tier darbuka maker - this piece pairs a cream-and-beige ground with a scalloped, fan-shaped mosaic border in brown. Mother-of-pearl star medallions with red dot centers complete a design that reads noticeably more refined than the unbranded pieces in this batch.</p><ul>
<li>Genuine Gawharet El Fan badge, brass medallion with bird/swan logo</li>
<li>Brown scalloped shell-fan mosaic border</li>
<li>Mother-of-pearl star medallions with red dot centers</li>
<li>New, unplayed condition</li>
</ul>",Gawharet El Fan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, branded, brown, cream, doumbek, gawharet el fan, middle eastern, mosaic, mother of pearl, star medallion",true,Title,Default Title,,,,,DRM-22,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-22-01.jpg,1,Gawharet El Fan Darbuka - Cream & Brown Shell-Fan Border with Star Medallions — Bob Music Store,false,Gawharet El Fan Darbuka - Cream & Brown Shell-Fan Border …,"Carrying the brass medallion badge of Gawharet El Fan - Egypt's respected, professional-tier darbuka maker - this piece pairs — Bob Music Store, Beirut.",g,active
mosaic-darbuka-bright-yellow-purple-floral-diamonds,Mosaic Darbuka - Bright Yellow & Purple Floral Diamonds,"<p>The most vividly colored piece in the entire batch, this darbuka is built on a bright yellow ground with purple, black, and cream diamond medallions, each centered on a small floral star. It's the only yellow-based drum in the collection, and it isn't shy about it.</p><ul>
<li>Bright yellow ground, the only yellow-based drum in the batch</li>
<li>Purple, black, and cream diamond medallion mosaic</li>
<li>Floral star centers within each medallion</li>
<li>New, unplayed condition</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, bold color, cream, diamond medallion, doumbek, floral, middle eastern, mosaic, purple, yellow",true,Title,Default Title,,,,,DRM-21,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-21-01.jpg,1,Mosaic Darbuka - Bright Yellow & Purple Floral Diamonds — Bob Music Store,false,Mosaic Darbuka - Bright Yellow & Purple Floral Diamonds,"The most vividly colored piece in the entire batch, this darbuka is built on a bright yellow ground with purple, black — Bob Music Store, Beirut.",g,active
amber-wood-marquetry-darbuka-chevron-pinstripe,Amber Wood Marquetry Darbuka - Chevron Grain with Pinstripe Inlay,"<p>An all-wood-tone darbuka finished in amber and honey-brown marquetry, laid out in a chevron-and-diamond grain pattern with a thin gold-and-black pinstripe inlay tracing the seams. A heavy glossy varnish seals the whole piece, with no shell or black-lacquer accents anywhere on the body.</p><ul>
<li>Chevron/diamond wood-grain marquetry pattern</li>
<li>Thin gold and black pinstripe inlay detailing</li>
<li>Heavy glossy varnish finish</li>
<li>All-wood-tone palette with no shell or lacquer accents</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, amber, chevron, doumbek, honey brown, middle eastern, pinstripe inlay, varnish, wood marquetry",true,Title,Default Title,,,,,DRM-20,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-20-01.jpg,1,Amber Wood Marquetry Darbuka - Chevron Grain with Pinstripe Inlay — Bob Music Store,false,Amber Wood Marquetry Darbuka - Chevron Grain with Pinstri…,"An all-wood-tone darbuka finished in amber and honey-brown marquetry, laid out in a chevron-and-diamond grain pattern — Bob Music Store, Beirut.",g,active
solid-black-darbuka-plain-glossy-lacquer,Solid Black Darbuka - Plain Glossy Lacquer,"<p>No mosaic, no marquetry, no color-blocking - just a solid, glossy black finish from rim to base. It's the simplest piece in the entire batch, suited to a player who wants a clean, understated look.</p><ul>
<li>Solid glossy black lacquer with no pattern of any kind</li>
<li>Simplest finish in the whole collection</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, doumbek, lacquer, middle eastern, minimalist, no pattern, solid color",true,Title,Default Title,,,,,DRM-19,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-19-01.jpg,1,Solid Black Darbuka - Plain Glossy Lacquer — Bob Music Store,false,Solid Black Darbuka - Plain Glossy Lacquer,"No mosaic, no marquetry, no color-blocking - just a solid, glossy black finish from rim to base — Bob Music Store, Beirut.",g,active
mosaic-darbuka-tan-star-medallions-wood-strip-rim,Mosaic Darbuka - Tan Star Medallions with Wood-Strip Rim Bands,"<p>Six-point mother-of-pearl star medallions sit against a cream-and-tan ground, accented with dark reddish-brown flame- and leaf-shaped inlay pieces. Wood-strip marquetry bands trim the rim, blending mosaic and marquetry techniques on the same body.</p><ul>
<li>Six-point mother-of-pearl star medallions</li>
<li>Dark reddish-brown flame/leaf-shaped inlay accents</li>
<li>Wood-strip marquetry banding at the rim</li>
<li>New, unplayed condition</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, cream, doumbek, leaf inlay, middle eastern, mosaic, mother of pearl, star medallion, tan, wood strip",true,Title,Default Title,,,,,DRM-18,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-18-01.jpg,1,Mosaic Darbuka - Tan Star Medallions with Wood-Strip Rim Bands — Bob Music Store,false,Mosaic Darbuka - Tan Star Medallions with Wood-Strip Rim …,"Six-point mother-of-pearl star medallions sit against a cream-and-tan ground, accented with dark reddish-brown flame — Bob Music Store, Beirut.",g,active
crackle-paint-darbuka-black-white,Crackle-Paint Darbuka - Black & White Marbled Finish,"<p>The inverse of its teal sibling in this batch, this darbuka is finished in glossy black with fine white crackle-paint veining running through the surface - no mosaic, just a marbled painted finish under lacquer.</p><ul>
<li>White crackle-paint veining over a glossy black body</li>
<li>Glossy lacquer topcoat</li>
<li>No mosaic or shell inlay</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, crackle paint, doumbek, lacquer, middle eastern, no mosaic, white",true,Title,Default Title,,,,,DRM-17,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-17-01.jpg,1,Crackle-Paint Darbuka - Black & White Marbled Finish — Bob Music Store,false,Crackle-Paint Darbuka - Black & White Marbled Finish,"The inverse of its teal sibling in this batch, this darbuka is finished in glossy black with fine white crackle-paint veining — Bob Music Store, Beirut.",g,active
mosaic-darbuka-red-black-mirror-silver-harlequin,"Mosaic Darbuka - Red, Black & Mirror-Silver Harlequin","<p>A bold red, black, and mirror-silver harlequin diamond pattern gives this darbuka a strong graphic presence, built around an hourglass/spade-shaped central motif on a cream-ivory ground.</p><ul>
<li>Harlequin-style diamond mosaic in red, black, and mirror-silver</li>
<li>Hourglass/spade-shaped central motif</li>
<li>Cream-ivory ground</li>
<li>New, unplayed condition</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, black, diamond pattern, doumbek, harlequin, middle eastern, mosaic, red, silver",true,Title,Default Title,,,,,DRM-16,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-16-01.jpg,1,"Mosaic Darbuka - Red, Black & Mirror-Silver Harlequin — Bob Music Store",false,"Mosaic Darbuka - Red, Black & Mirror-Silver Harlequin","A bold red, black, and mirror-silver harlequin diamond pattern gives this darbuka a strong graphic presence, built around — Bob Music Store, Beirut.",g,active
emerald-green-darbuka-dense-marquetry-star-inlay,Emerald Green Darbuka - Densest Marquetry & Star Inlay in the Set,"<p>This is the showpiece of the batch for sheer density of pattern. An emerald and kelly-green body is wrapped in dark reddish-brown wood-tone marquetry banding, then layered with cream, black, and red diamond and star accents until barely any green ground shows through. It's also the only green-based drum in the group.</p><ul>
<li>Most densely patterned piece in the entire batch</li>
<li>Dark reddish-brown wood-tone marquetry banding</li>
<li>Cream, black, and red diamond and star accent work</li>
<li>Only green-based drum in this collection</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, densely patterned, diamond, doumbek, emerald, green, middle eastern, star, wood marquetry",true,Title,Default Title,,,,,DRM-15,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-15-01.jpg,1,Emerald Green Darbuka - Densest Marquetry & Star Inlay in the Set — Bob Music Store,false,Emerald Green Darbuka - Densest Marquetry & Star Inlay in…,"This is the showpiece of the batch for sheer density of pattern. An emerald and kelly-green body is wrapped in dark — Bob Music Store, Beirut.",g,active
crackle-paint-darbuka-teal-cream,Crackle-Paint Darbuka - Teal & Cream Marbled Finish,"<p>A teal-and-turquoise body is finished in cream-white crackle paint, giving it a fine marbled veining under a glossy lacquer topcoat rather than any pieced mosaic. The effect reads more like painted ceramic than the shell-inlay pieces elsewhere in this batch.</p><ul>
<li>Crackle-paint veining texture in cream-white over teal/turquoise</li>
<li>Glossy lacquer topcoat</li>
<li>No mosaic or shell inlay</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, crackle paint, cream, doumbek, lacquer, middle eastern, no mosaic, teal, turquoise",true,Title,Default Title,,,,,DRM-14,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-14-01.jpg,1,Crackle-Paint Darbuka - Teal & Cream Marbled Finish — Bob Music Store,false,Crackle-Paint Darbuka - Teal & Cream Marbled Finish,"A teal-and-turquoise body is finished in cream-white crackle paint, giving it a fine marbled veining under a glossy lacquer — Bob Music Store, Beirut.",g,active
mosaic-darbuka-navy-yellow-mint-diamond-medallion-sealed,"Mosaic Darbuka - Navy, Yellow & Mint Diamond Medallion","<p>Layered rings do the work on this one: a navy-and-black diamond ring, a yellow inner ring, and a red-and-mint hexagon center stack into a single medallion on a cream-and-beige mother-of-pearl body, with a diagonal blue-and-yellow diamond band finishing the neck. Still wrapped in its original factory plastic film.</p><ul>
<li>Layered medallion of navy/black diamond ring, yellow ring, and red/mint hexagon center</li>
<li>Diagonal blue and yellow diamond mosaic banding on the neck</li>
<li>Cream and beige mother-of-pearl ground</li>
<li>Brand new, still factory-sealed</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, cream, doumbek, factory sealed, middle eastern, mint, mosaic, mother of pearl, navy, new, red, yellow",true,Title,Default Title,,,,,DRM-13,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-13-01.jpg,1,"Mosaic Darbuka - Navy, Yellow & Mint Diamond Medallion — Bob Music Store",false,"Mosaic Darbuka - Navy, Yellow & Mint Diamond Medallion","Layered rings do the work on this one: a navy-and-black diamond ring, a yellow inner ring, and a red-and-mint hexagon center — Bob Music Store, Beirut.",g,active
plain-aluminum-darbuka-brushed-silver-bolt-tuned,"Plain Aluminum Darbuka - Brushed Silver, Bolt-Tuned","<p>No mosaic, no inlay - just polished and brushed aluminum with black plastic rim segments and visible tuning bolts around the head. It's the only plain metal darbuka in the whole batch, built for players who want adjustable tuning over decorative shell work.</p><ul>
<li>Polished/brushed aluminum body, unadorned</li>
<li>Black plastic rim segments with mechanical tuning bolts</li>
<li>No mosaic or inlay of any kind, the only plain metal piece in the batch</li>
<li>New, unplayed condition</li>
</ul>",Handmade,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Percussion,Darbuka,"Darbuka, Percussion, Arabic Instruments, aluminum, bolt tuned, doumbek, metal, middle eastern, minimalist, silver",true,Title,Default Title,,,,,DRM-12,2200,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/DRM-12-01.jpg,1,"Plain Aluminum Darbuka - Brushed Silver, Bolt-Tuned — Bob Music Store",false,"Plain Aluminum Darbuka - Brushed Silver, Bolt-Tuned","No mosaic, no inlay - just polished and brushed aluminum with black plastic rim segments and visible tuning bolts around — Bob Music Store, Beirut.",g,active
